node_id,name,kind,lat,lon,lines,is_interchange,category,degree,observed_congestion,latent_congestion
jn_245613696,Junction 245613696,junction,12.924564,77.617992,,0,,3,0.37357,0.40892
jn_245615180,Junction 245615180,junction,12.967776,77.588255,,0,,3,0.90138,0.83388
jn_246171016,Junction 246171016,junction,12.957746,77.582133,,0,,3,0.86144,0.77957
jn_247974980,Junction 247974980,junction,12.916818,77.600103,,0,,3,0.59177,0.56097
jn_247991552,Junction 247991552,junction,12.926656,77.600534,,0,,3,0.63561,0.56286
jn_248181106,Junction 248181106,junction,12.937941,77.598951,,0,,3,0.89401,0.71088
jn_248455441,Junction 248455441,junction,12.962157,77.594468,,0,,4,0.70748,0.73464
jn_248455450,Junction 248455450,junction,12.965192,77.599491,,0,,4,0.78903,0.77914
jn_248459849,Junction 248459849,junction,12.971751,77.594004,,0,,3,0.9044,0.80311
jn_248459877,Junction 248459877,junction,12.971477,77.606108,,0,,3,0.84218,0.85306
jn_248525401,Junction 248525401,junction,12.955521,77.585717,,0,,3,0.74485,0.71212
jn_248525402,Junction 248525402,junction,12.954279,77.585435,,0,,4,0.8332,0.86005
jn_248525409,Junction 248525409,junction,12.953856,77.591335,,0,,4,0.84501,0.73695
jn_248671287,Junction 248671287,junction,12.942992,77.526106,,0,,4,0.58767,0.70041
jn_248809645,Junction 248809645,junction,12.940606,77.575318,,0,,3,0.66145,0.71995
jn_248839215,Junction 248839215,junction,12.916966,77.573645,,0,,3,0.77805,0.56611
jn_249075524,Junction 249075524,junction,12.917132,77.583664,,0,,2,0.42585,0.49048
jn_249081146,Junction 249081146,junction,12.960161,77.55681,,0,,2,0.76679,0.76188
jn_249081348,Junction 249081348,junction,12.967334,77.588417,,0,,3,0.80068,0.77856
jn_249082836,Junction 249082836,junction,12.992289,77.600041,,0,,3,0.88094,0.78318
jn_249083003,Junction 249083003,junction,13.000011,77.610882,,0,,3,0.61851,0.62422
jn_249083738,Junction 249083738,junction,12.964211,77.570154,,0,,4,0.63081,0.77554
jn_249084139,Junction 249084139,junction,12.950634,77.537989,,0,,3,0.89608,0.78568
jn_249096054,Junction 249096054,junction,12.948622,77.593039,,0,,1,0.66981,0.69218
jn_249140778,Junction 249140778,junction,12.94908,77.593317,,0,,3,0.69784,0.8006
jn_249141559,Junction 249141559,junction,12.956229,77.577592,,0,,2,0.83876,0.80591
