edge_id,u,v,distance_km,road_class,free_speed_kmph,lanes
rd_00000,jn_248525401,jn_248525402,0.1415,primary,40.0,3
rd_00001,jn_13392231543,jn_298775392,0.0865,primary,40.0,2
rd_00002,jn_287793735,jn_245615180,0.0706,primary,40.0,3
rd_00003,jn_12077171235,jn_246171016,0.3557,primary,40.0,5
rd_00004,jn_294076319,jn_11664358424,0.1521,primary,40.0,2
rd_00005,jn_435252002,jn_249585502,0.0881,primary,40.0,2
rd_00006,jn_12128943147,jn_665062617,0.0595,primary,40.0,4
rd_00007,jn_249096054,jn_249140778,0.0592,primary_link,30.0,2
rd_00008,jn_1836983541,jn_429001182,0.3294,primary,40.0,2
rd_00009,jn_12460840938,jn_9870839712,0.0494,primary,40.0,2
rd_00010,jn_9870839712,jn_4903183637,0.3636,primary,40.0,2
rd_00011,jn_2571434008,jn_4761188839,0.4915,primary,40.0,2
rd_00012,jn_245615180,jn_249081348,0.0546,primary,40.0,5
rd_00013,jn_11854316021,jn_9870882717,0.4411,primary,50.0,3
rd_00014,jn_10282796511,jn_10282796509,0.0264,trunk,40.0,3
rd_00015,jn_11220661004,jn_11220661003,0.0119,primary_link,30.0,2
rd_00016,jn_13392231547,jn_286681951,0.0242,primary,40.0,2
rd_00017,jn_286681951,jn_298830984,0.0367,primary,40.0,2
rd_00018,jn_13392231547,jn_12067366799,0.2778,primary_link,30.0,2
rd_00019,jn_296030036,jn_2405870182,0.2161,primary,40.0,2
rd_00020,jn_296030027,jn_7142097531,0.4756,primary,40.0,2
rd_00021,jn_2462943601,jn_12145487311,0.4201,primary,40.0,2
rd_00022,jn_294082867,jn_2014710929,0.0181,primary,40.0,2
rd_00023,jn_4937863372,jn_4937863371,0.2383,primary,40.0,2
rd_00024,jn_428420790,jn_428420786,0.1619,primary_link,30.0,2
rd_00025,jn_428457166,jn_428457143,0.0398,primary,40.0,2
rd_00026,jn_428435126,jn_9910066830,0.1447,primary,20.0,2
rd_00027,jn_1636820444,jn_3755576612,0.0293,primary,40.0,2
rd_00028,jn_3309317524,jn_429230952,0.0566,primary,40.0,2
rd_00029,jn_286679311,jn_12128921370,0.1939,primary,40.0,5
rd_00030,jn_429286743,jn_1435578877,0.1051,primary_link,30.0,2
rd_00031,jn_1560168993,jn_429723996,0.22,primary_link,30.0,2
rd_00032,jn_347295555,jn_12121597668,0.0381,primary,40.0,2
rd_00033,jn_7697940571,jn_11432437448,0.1733,primary,40.0,3
rd_00034,jn_12466460037,jn_12466460038,0.0263,primary,40.0,2
rd_00035,jn_10861673593,jn_249141559,0.0249,primary,40.0,2
rd_00036,jn_7105069820,jn_435252002,0.3157,primary,40.0,2
rd_00037,jn_296030030,jn_11451187932,0.1805,primary,40.0,2
rd_00038,jn_11451187932,jn_13875839413,0.2174,primary,40.0,2
rd_00039,jn_13875839413,jn_11841864042,0.0447,primary,40.0,2
rd_00040,jn_286679575,jn_294083077,0.061,primary,40.0,2
rd_00041,jn_294083077,jn_12421958516,0.0818,primary,40.0,2
rd_00042,jn_12421958516,jn_13985347516,0.2424,primary,40.0,2
rd_00043,jn_13985347516,jn_12129943986,0.1344,primary,40.0,2
rd_00044,jn_12129943986,jn_5558684129,0.0317,primary,40.0,2
rd_00045,jn_4582284826,jn_13793214289,0.0493,primary,40.0,2
rd_00046,jn_13793214289,jn_4829124435,0.6804,primary,40.0,2
rd_00047,jn_12459218191,jn_8239947053,0.9681,primary,40.0,2
rd_00048,jn_494238031,jn_247974980,0.0253,trunk,60.0,3
rd_00049,jn_494271084,jn_10282769907,0.1351,trunk_link,35.0,2
rd_00050,jn_5965902017,jn_494271084,0.105,trunk,60.0,2
rd_00051,jn_597084152,jn_597084032,0.1149,primary_link,30.0,2
rd_00052,jn_597084145,jn_597084147,0.1003,primary_link,30.0,2
rd_00053,jn_12141911045,jn_663311696,0.0694,primary,40.0,4
rd_00054,jn_1650305476,jn_663596583,0.0348,primary,40.0,2
rd_00055,jn_7697940571,jn_11432437452,0.0093,primary,40.0,1
rd_00056,jn_10044013422,jn_665062617,0.0318,primary_link,30.0,2
rd_00057,jn_663313892,jn_663313886,0.0711,primary_link,30.0,2
rd_00058,jn_12430010319,jn_679993301,0.0128,primary,40.0,2
rd_00059,jn_429726436,jn_347295555,0.0392,primary_link,30.0,2
rd_00060,jn_956653671,jn_3371785042,0.3256,primary_link,30.0,2
rd_00061,jn_1560168993,jn_687332600,0.2815,primary_link,30.0,2
rd_00062,jn_248671287,jn_699704164,1.1335,trunk,60.0,2
rd_00063,jn_248809645,jn_1522519216,0.093,primary,40.0,2
rd_00064,jn_1053901121,jn_2411279226,0.208,trunk,50.0,3
rd_00065,jn_428435133,jn_1067769842,0.0222,primary,20.0,2
rd_00066,jn_12111889674,jn_428435131,0.0583,primary,20.0,2
rd_00067,jn_1070314234,jn_1070314200,0.5481,trunk_link,40.0,2
rd_00068,jn_306591433,jn_650085372,0.0403,primary_link,30.0,2
rd_00069,jn_260911861,jn_6137525101,0.5127,primary,40.0,2
rd_00070,jn_6137525101,jn_12617824683,0.433,primary,40.0,2
rd_00071,jn_4703745954,jn_1355297532,0.0097,primary_link,30.0,2
rd_00072,jn_1355297532,jn_1355297535,0.0303,primary_link,30.0,2
rd_00073,jn_3740962472,jn_3740962455,0.1096,primary,40.0,3
rd_00074,jn_460976059,jn_4937863377,1.2121,primary,50.0,2
rd_00075,jn_4937863377,jn_11898860861,0.0112,primary,50.0,2
rd_00076,jn_10043935989,jn_7479071341,0.0263,primary,40.0,2
rd_00077,jn_1620344798,jn_443224605,0.463,primary,40.0,2
rd_00078,jn_246171016,jn_248525401,0.4716,primary,40.0,2
rd_00079,jn_1364038689,jn_12712338634,0.1144,trunk,60.0,2
rd_00080,jn_13459522649,jn_251146209,0.2341,primary,40.0,2
rd_00081,jn_1435578873,jn_1435578897,0.0881,primary_link,30.0,2
rd_00082,jn_1435578897,jn_2631157973,0.044,primary_link,30.0,2
rd_00083,jn_1442068027,jn_1442068016,0.0721,primary_link,30.0,2
rd_00084,jn_3755576616,jn_3755576612,0.0659,primary,40.0,2
rd_00085,jn_251099555,jn_1454651961,0.0075,primary_link,30.0,2
rd_00086,jn_1469034694,jn_1469034722,0.0299,primary_link,30.0,2
rd_00087,jn_245613696,jn_10043935988,0.0269,primary,30.0,2
rd_00088,jn_10043935988,jn_4761188837,0.4563,primary,30.0,2
rd_00089,jn_10601663791,jn_1523537403,0.0379,primary_link,30.0,2
rd_00090,jn_12129943986,jn_1560168984,0.2316,primary_link,30.0,2
rd_00091,jn_1568922443,jn_429230952,0.0696,primary_link,30.0,2
rd_00092,jn_249140778,jn_428457166,0.4069,primary,40.0,2
rd_00093,jn_251146209,jn_1434179293,0.036,primary_link,30.0,2
rd_00094,jn_249081348,jn_286679311,0.075,primary,40.0,2
rd_00095,jn_286679311,jn_12128943145,0.0605,primary,40.0,2
rd_00096,jn_12128943147,jn_287793735,0.0525,primary,40.0,2
rd_00097,jn_1613154924,jn_1613154923,0.0114,trunk_link,35.0,2
rd_00098,jn_248525402,jn_12110804692,0.0441,primary,40.0,3
rd_00099,jn_4761188838,jn_6462712325,0.7078,primary,40.0,3
rd_00100,jn_6462712325,jn_308915753,0.1487,primary,40.0,3
rd_00101,jn_1634804562,jn_1634804475,0.0169,trunk_link,35.0,2
rd_00102,jn_597084152,jn_597083726,0.0511,primary,40.0,4
rd_00103,jn_1636820444,jn_10015684285,0.0336,primary,40.0,2
rd_00104,jn_12430010318,jn_679993301,0.0614,primary,40.0,2
rd_00105,jn_679993301,jn_12260962526,0.0133,primary,40.0,2
rd_00106,jn_1636820409,jn_12421958516,0.19,primary,40.0,2
rd_00107,jn_12421958516,jn_10841729419,0.012,primary,40.0,2
rd_00108,jn_6463569335,jn_12186005569,0.754,primary,40.0,2
rd_00109,jn_1645178560,jn_6463569335,0.2899,primary,40.0,2
rd_00110,jn_12147813608,jn_665045355,0.2647,primary,30.0,3
rd_00111,jn_665045355,jn_1837595282,0.0879,primary,30.0,3
rd_00112,jn_245615180,jn_428420786,0.1508,primary,40.0,3
rd_00113,jn_429001197,jn_1668866520,0.0903,primary_link,30.0,2
rd_00114,jn_11890755678,jn_1483859318,0.8842,trunk,50.0,2
rd_00115,jn_12452723320,jn_13459544127,0.0118,primary,30.0,2
rd_00116,jn_1723790725,jn_1723790753,0.0661,trunk_link,35.0,2
rd_00117,jn_1472878464,jn_10282796509,0.0878,trunk_link,35.0,2
rd_00118,jn_10282769907,jn_10282769905,0.0575,trunk_link,35.0,2
rd_00119,jn_10282769905,jn_13748051108,0.0986,trunk_link,35.0,2
rd_00120,jn_11964724285,jn_1472248456,0.4552,primary,60.0,3
rd_00121,jn_1436067882,jn_12099941385,0.1758,primary,40.0,5
rd_00122,jn_249084139,jn_1780334125,0.0557,trunk,50.0,2
rd_00123,jn_1837757332,jn_5011416423,0.1247,primary,40.0,2
rd_00124,jn_12110804692,jn_12139082473,0.5485,primary,40.0,2
rd_00125,jn_3526181364,jn_1808871358,0.0934,primary,40.0,2
rd_00126,jn_1808871358,jn_1808871337,0.0709,primary,40.0,2
rd_00127,jn_1808871337,jn_10020593111,0.0597,primary,40.0,2
rd_00128,jn_10020593111,jn_296030030,0.0308,primary,40.0,2
rd_00129,jn_1820387918,jn_1820382285,0.2916,primary_link,40.0,2
rd_00130,jn_10042490427,jn_4703697696,1.0515,primary,40.0,2
rd_00131,jn_4703697696,jn_2402397430,0.011,primary,40.0,2
rd_00132,jn_11868178724,jn_429286798,0.0162,primary,40.0,2
rd_00133,jn_12068481108,jn_12068481109,0.0246,primary,40.0,2
rd_00134,jn_12068481109,jn_683068022,0.0148,primary,40.0,2
rd_00135,jn_1836983204,jn_1836983267,0.1321,motorway,80.0,3
rd_00136,jn_1836983267,jn_1836983313,0.1291,motorway,80.0,3
rd_00137,jn_1836983204,jn_1836983260,0.1146,motorway_link,40.0,2
rd_00138,jn_1836983260,jn_1836983374,0.2288,motorway_link,40.0,2
rd_00139,jn_1836983313,jn_733498684,0.2002,motorway_link,40.0,2
rd_00140,jn_733498647,jn_1836983279,0.2461,motorway_link,40.0,2
rd_00141,jn_12059785443,jn_1836983389,0.2754,motorway_link,40.0,2
rd_00142,jn_13652819893,jn_1836983211,0.3837,motorway_link,40.0,2
rd_00143,jn_1472248450,jn_11964440742,0.2923,primary,60.0,2
rd_00144,jn_1472248447,jn_7479071341,0.1067,primary_link,30.0,1
rd_00145,jn_7479071341,jn_245613696,0.0104,primary_link,30.0,1
rd_00146,jn_1837285030,jn_1837285037,0.012,primary_link,30.0,2
rd_00147,jn_10016225540,jn_1837595282,0.0333,primary_link,30.0,2
rd_00148,jn_12466460036,jn_2228006075,0.3683,primary,40.0,2
rd_00149,jn_12466460036,jn_12466460037,0.0087,primary,40.0,2
rd_00150,jn_10075533183,jn_11432458996,0.012,primary,40.0,2
rd_00151,jn_11432458996,jn_11432437452,0.174,primary,40.0,2
rd_00152,jn_296030006,jn_11469851352,0.0118,primary,40.0,2
rd_00153,jn_11469851352,jn_11919462587,0.4028,primary,40.0,2
rd_00154,jn_1837823400,jn_1845220002,0.4599,primary,40.0,2
rd_00155,jn_432504284,jn_249083003,0.0225,primary_link,30.0,2
rd_00156,jn_296030030,jn_11937017208,0.0424,primary,40.0,2
rd_00157,jn_11937017208,jn_412905225,0.1033,primary,40.0,2
rd_00158,jn_1355297532,jn_6884057005,0.9626,primary,40.0,2
rd_00159,jn_6884057005,jn_10588574300,0.0265,primary,40.0,2
rd_00160,jn_12111889674,jn_428435126,0.0859,primary,20.0,2
rd_00161,jn_1820423092,jn_7142722739,0.0197,primary,40.0,2
rd_00162,jn_1931866151,jn_1931866158,0.022,primary,40.0,2
rd_00163,jn_12198472129,jn_11940280169,0.0557,motorway_link,40.0,2
rd_00164,jn_1836983279,jn_1942843905,0.1361,motorway,80.0,3
rd_00165,jn_1942843905,jn_1836983206,0.0704,motorway,80.0,3
rd_00166,jn_1836983206,jn_10695037231,0.1689,motorway,80.0,3
rd_00167,jn_2014710951,jn_2014710968,0.0356,primary,40.0,2
