edge_id,u,v,distance_km,walk_min
tf_0000,ms_krishnarajapura,bs_5631135853,0.172,2.24
tf_0001,ms_krishnarajapura,bs_1839942326,0.167,2.18
tf_0002,ms_benniganahalli,bs_2475275941,0.1427,1.86
tf_0003,ms_benniganahalli,bs_11229763336,0.0317,0.8
tf_0004,ms_swami_vivekananda_road,bs_5484245021,0.012,0.8
tf_0005,ms_indiranagar,bs_9814659993,0.249,3.25
tf_0006,ms_indiranagar,bs_4101455408,0.3014,3.93
tf_0007,ms_indiranagar,bs_1488405362,0.2597,3.39
tf_0008,ms_indiranagar,bs_9814659994,0.2489,3.25
tf_0009,ms_halasuru,bs_1698055294,0.2525,3.29
tf_0010,ms_halasuru,bs_2401658592,0.1967,2.57
tf_0011,ms_halasuru,bs_4595656669,0.2306,3.01
tf_0012,ms_mahatma_gandhi_road,bs_3740957800,0.2795,3.65
tf_0013,ms_mahatma_gandhi_road,bs_2405357303,0.2334,3.04
tf_0014,ms_cubbon_park,bs_11097276373,0.0937,1.22
tf_0015,ms_dr__b__r__ambedkar_station__vidhan,bs_663551443,0.147,1.92
tf_0016,ms_sir_m__visvesvaraya_stn___central_,bs_5335240458,0.3384,4.41
tf_0017,ms_sir_m__visvesvaraya_stn___central_,bs_7142097523,0.3223,4.2
tf_0018,ms_nadaprabhu_kempegowda_station__maj,bs_2398074914,0.2528,3.3
tf_0019,ms_nadaprabhu_kempegowda_station__maj,bs_6140792126,0.1804,2.35
tf_0020,ms_krantivira_sangolli_rayanna_railwa,bs_6222268366,0.0721,0.94
tf_0021,ms_krantivira_sangolli_rayanna_railwa,bs_1820410900,0.1853,2.42
tf_0022,ms_magadi_road,bs_1820411843,0.1228,1.6
tf_0023,ms_magadi_road,bs_6078107786,0.3135,4.09
tf_0024,ms_vijayanagara,bs_308232838,0.1052,1.37
tf_0025,ms_vijayanagara,bs_4159540542,0.1412,1.84
tf_0026,ms_attiguppe,bs_7124643396,0.094,1.23
tf_0027,ms_attiguppe,bs_1474854780,0.2896,3.78
tf_0028,ms_attiguppe,bs_7156536815,0.1582,2.06
tf_0029,ms_deepanjali_nagar,bs_6227539126,0.1098,1.43
tf_0030,ms_deepanjali_nagar,bs_1474854800,0.2025,2.64
tf_0031,ms_deepanjali_nagar,bs_2412142264,0.2839,3.7
tf_0032,ms_mysore_road,bs_11278822042,0.2279,2.97
tf_0033,ms_mysore_road,bs_7139674988,0.0531,0.8
tf_0034,ms_pantharapalya___nayandahalli,bs_2417464022,0.1921,2.51
tf_0035,ms_banashankari,bs_1070314236,0.2621,3.42
tf_0036,ms_banashankari,bs_14098502906,0.2852,3.72
tf_0037,ms_national_college,bs_11195721102,0.1562,2.04
tf_0038,ms_krishna_rajendra_market,bs_2007574677,0.0543,0.8
tf_0039,ms_mantri_square_sampige_road,bs_12512417639,0.1062,1.39
tf_0040,ms_srirampura,bs_4544407102,0.3118,4.07
tf_0041,ms_srirampura,bs_4544407103,0.0916,1.19
tf_0042,ms_mahakavi_kuvempu_road,bs_4544407101,0.0642,0.84
tf_0043,ms_rajajinagar,bs_2398081977,0.3091,4.03
tf_0044,ms_rajajinagar,bs_7139631433,0.135,1.76
tf_0045,ms_bommanahalli,bs_1723780075,0.0646,0.84
tf_0046,ms_central_silk_board,bs_2509428538,0.1442,1.88
tf_0047,ms_central_silk_board,bs_5558684110,0.1372,1.79
tf_0048,ms_btm_layout,bs_6495482458,0.1998,2.61
tf_0049,ms_btm_layout,bs_9904111099,0.0914,1.19
tf_0050,ms_btm_layout,bs_2510395000,0.0852,1.11
tf_0051,ms_btm_layout,bs_1466857947,0.1833,2.39
tf_0052,ms_jayadeva_hospital,bs_6495482463,0.0808,1.05
tf_0053,ms_jayadeva_hospital,bs_4701346477,0.2557,3.34
tf_0054,ms_ragigudda,bs_6495482468,0.1153,1.5
tf_0055,ms_ragigudda,bs_6495482470,0.335,4.37
tf_0056,ms_ragigudda,bs_524077013,0.1087,1.42
tf_0057,ms_ragigudda,bs_1473879998,0.3085,4.02
tf_0058,ms_ragigudda,bs_1463770311,0.3491,4.55
