edge_id,route_id,mode,u,v,seq,distance_km,scheduled_min
tr_metro_purpleline_000,metro_purpleline,metro,ms_singayyanapalya,ms_krishnarajapura,0,1.6852,3.56
tr_metro_purpleline_001,metro_purpleline,metro,ms_krishnarajapura,ms_benniganahalli,1,1.1471,2.551
tr_metro_purpleline_002,metro_purpleline,metro,ms_benniganahalli,ms_baiyappanahalli,2,1.9709,4.095
tr_metro_purpleline_003,metro_purpleline,metro,ms_baiyappanahalli,ms_swami_vivekananda_road,3,1.0267,2.325
tr_metro_purpleline_004,metro_purpleline,metro,ms_swami_vivekananda_road,ms_indiranagar,4,1.1482,2.553
tr_metro_purpleline_005,metro_purpleline,metro,ms_indiranagar,ms_halasuru,5,1.3896,3.005
tr_metro_purpleline_006,metro_purpleline,metro,ms_halasuru,ms_trinity,6,1.187,2.626
tr_metro_purpleline_007,metro_purpleline,metro,ms_trinity,ms_mahatma_gandhi_road,7,1.2692,2.78
tr_metro_purpleline_008,metro_purpleline,metro,ms_mahatma_gandhi_road,ms_cubbon_park,8,1.1799,2.612
tr_metro_purpleline_009,metro_purpleline,metro,ms_cubbon_park,ms_dr__b__r__ambedkar_station__vidhan,9,0.8173,1.932
tr_metro_purpleline_010,metro_purpleline,metro,ms_dr__b__r__ambedkar_station__vidhan,ms_sir_m__visvesvaraya_stn___central_,10,0.8895,2.068
tr_metro_purpleline_011,metro_purpleline,metro,ms_sir_m__visvesvaraya_stn___central_,ms_nadaprabhu_kempegowda_station__maj,11,1.3197,2.874
tr_metro_purpleline_012,metro_purpleline,metro,ms_nadaprabhu_kempegowda_station__maj,ms_krantivira_sangolli_rayanna_railwa,12,0.8533,2.0
tr_metro_purpleline_013,metro_purpleline,metro,ms_krantivira_sangolli_rayanna_railwa,ms_magadi_road,13,1.1516,2.559
tr_metro_purpleline_014,metro_purpleline,metro,ms_magadi_road,ms_sri_balagangadharanatha_swamiji_st,14,1.1311,2.521
tr_metro_purpleline_015,metro_purpleline,metro,ms_sri_balagangadharanatha_swamiji_st,ms_vijayanagara,15,1.015,2.303
tr_metro_purpleline_016,metro_purpleline,metro,ms_vijayanagara,ms_attiguppe,16,1.1575,2.57
tr_metro_purpleline_017,metro_purpleline,metro,ms_attiguppe,ms_deepanjali_nagar,17,1.2223,2.692
tr_metro_purpleline_018,metro_purpleline,metro,ms_deepanjali_nagar,ms_mysore_road,18,1.0199,2.312
tr_metro_purpleline_019,metro_purpleline,metro,ms_mysore_road,ms_pantharapalya___nayandahalli,19,0.82,1.938
tr_metro_greenline_000,metro_greenline,metro,ms_yelachenahalli,ms_jaya_prakash_nagar,0,1.3886,3.004
tr_metro_greenline_001,metro_greenline,metro,ms_jaya_prakash_nagar,ms_banashankari,1,0.9148,2.115
tr_metro_greenline_002,metro_greenline,metro,ms_banashankari,ms_rashtreeya_vidyalaya_road,2,1.1055,2.473
tr_metro_greenline_003,metro_greenline,metro,ms_rashtreeya_vidyalaya_road,ms_jayanagar,3,0.8856,2.061
tr_metro_greenline_004,metro_greenline,metro,ms_jayanagar,ms_south_end_circle,4,1.032,2.335
tr_metro_greenline_005,metro_greenline,metro,ms_south_end_circle,ms_lalbagh,5,0.975,2.228
tr_metro_greenline_006,metro_greenline,metro,ms_lalbagh,ms_national_college,6,0.8656,2.023
tr_metro_greenline_007,metro_greenline,metro,ms_national_college,ms_krishna_rajendra_market,7,1.2273,2.701
tr_metro_greenline_008,metro_greenline,metro,ms_krishna_rajendra_market,ms_chickpete,8,0.7107,1.733
tr_metro_greenline_009,metro_greenline,metro,ms_chickpete,ms_nadaprabhu_kempegowda_station__maj,9,1.0496,2.368
tr_metro_greenline_010,metro_greenline,metro,ms_nadaprabhu_kempegowda_station__maj,ms_mantri_square_sampige_road,10,1.7563,3.693
tr_metro_greenline_011,metro_greenline,metro,ms_mantri_square_sampige_road,ms_srirampura,11,1.1102,2.482
tr_metro_greenline_012,metro_greenline,metro,ms_srirampura,ms_mahakavi_kuvempu_road,12,0.7736,1.851
tr_metro_greenline_013,metro_greenline,metro,ms_mahakavi_kuvempu_road,ms_rajajinagar,13,0.868,2.027
tr_metro_yellowline_000,metro_yellowline,metro,ms_hongasandra,ms_bommanahalli,0,1.2462,2.737
tr_metro_yellowline_001,metro_yellowline,metro,ms_bommanahalli,ms_central_silk_board,1,0.9238,2.132
tr_metro_yellowline_002,metro_yellowline,metro,ms_central_silk_board,ms_btm_layout,2,1.4344,3.089
tr_metro_yellowline_003,metro_yellowline,metro,ms_btm_layout,ms_jayadeva_hospital,3,0.9081,2.103
tr_metro_yellowline_004,metro_yellowline,metro,ms_jayadeva_hospital,ms_ragigudda,4,1.373,2.974
tr_bus_401n_000,bus_401n,bus,bs_1070314236,bs_2393746915,0,0.9717,3.979
tr_bus_401n_001,bus_401n,bus,bs_2393746915,bs_2397057343,1,0.7554,3.216
tr_bus_401n_002,bus_401n,bus,bs_2397057343,bs_2513834593,2,0.8473,3.541
tr_bus_401n_003,bus_401n,bus,bs_2513834593,bs_2513845212,3,0.7925,3.347
tr_bus_401n_004,bus_401n,bus,bs_2513845212,bs_2515008626,4,0.5975,2.659
tr_bus_401n_005,bus_401n,bus,bs_2515008626,bs_2515008623,5,0.6361,2.795
tr_bus_401n_006,bus_401n,bus,bs_2515008623,bs_11607676806,6,0.5094,2.348
tr_bus_401n_007,bus_401n,bus,bs_11607676806,bs_11607676804,7,0.4706,2.211
tr_bus_401n_008,bus_401n,bus,bs_11607676804,bs_2093292636,8,0.5244,2.401
tr_bus_401n_009,bus_401n,bus,bs_2093292636,bs_617540170,9,0.6379,2.801
tr_bus_401n_010,bus_401n,bus,bs_617540170,bs_11278822042,10,1.3247,5.225
tr_bus_401n_011,bus_401n,bus,bs_11278822042,bs_6227539126,11,1.4284,5.591
tr_bus_401n_012,bus_401n,bus,bs_6227539126,bs_2402212005,12,1.0453,4.239
tr_bus_401n_013,bus_401n,bus,bs_2402212005,bs_7124643396,13,0.4712,2.213
tr_bus_401n_014,bus_401n,bus,bs_7124643396,bs_2402209839,14,0.6442,2.824
