edge_id,edge_kind,mode,ts,hour,dow,is_weekend,rain,base_min,observed_min
rd_00525,road,road,2025-01-06T06:00:07,6.002,0,0,0,0.0247,0.25
tr_bus_60a_009,transit,bus,2025-01-06T06:00:07,6.002,0,0,0,1.482,1.6651
rd_00706,road,road,2025-01-06T06:00:12,6.003,0,0,0,1.043,1.1547
tr_bus_75b_008,transit,bus,2025-01-06T06:01:02,6.017,0,0,0,3.447,4.2963
rd_00503,road,road,2025-01-06T06:01:24,6.023,0,0,0,0.024,0.25
rd_00308,road,road,2025-01-06T06:01:49,6.031,0,0,0,0.0173,0.25
rd_00849,road,road,2025-01-06T06:02:11,6.037,0,0,0,1.7609,1.6517
rd_c_bs_s_7139631433,road,road,2025-01-06T06:02:44,6.046,0,0,0,0.0696,0.25
tr_bus_k1_003,transit,bus,2025-01-06T06:02:52,6.048,0,0,0,2.032,1.9992
rd_01146,road,road,2025-01-06T06:03:29,6.058,0,0,0,0.33,0.412
rd_00402,road,road,2025-01-06T06:03:42,6.062,0,0,0,0.0348,0.25
rd_00564,road,road,2025-01-06T06:03:56,6.066,0,0,0,0.0195,0.25
rd_00183,road,road,2025-01-06T06:04:27,6.074,0,0,0,0.0105,0.25
tr_bus_401n_025,transit,bus,2025-01-06T06:05:09,6.086,0,0,0,1.604,1.8575
rd_00786,road,road,2025-01-06T06:05:10,6.086,0,0,0,0.6597,0.7383
rd_00198,road,road,2025-01-06T06:05:15,6.088,0,0,0,0.7512,0.8912
rd_00804,road,road,2025-01-06T06:05:32,6.092,0,0,0,0.9205,0.8905
rd_00745,road,road,2025-01-06T06:06:14,6.104,0,0,0,0.0344,0.25
rd_c_bs_s_2076240754,road,road,2025-01-06T06:06:48,6.113,0,0,0,0.3576,0.3815
rd_c_pl_s_university,road,road,2025-01-06T06:06:48,6.114,0,0,0,0.6282,0.5711
rd_c_bs__14098502906,road,road,2025-01-06T06:06:55,6.115,0,0,0,0.03,0.25
rd_c_ms_onal_college,road,road,2025-01-06T06:07:03,6.118,0,0,0,0.2235,0.293
rd_00236,road,road,2025-01-06T06:07:06,6.119,0,0,0,0.0267,0.25
rd_00130,road,road,2025-01-06T06:07:28,6.125,0,0,0,1.5773,1.6961
rd_c_bs_s_7156865447,road,road,2025-01-06T06:07:29,6.125,0,0,0,0.0417,0.25
rd_00432,road,road,2025-01-06T06:07:38,6.127,0,0,0,0.0171,0.25
rd_01147,road,road,2025-01-06T06:07:41,6.128,0,0,0,0.4522,0.4706
rd_00622,road,road,2025-01-06T06:08:57,6.149,0,0,0,0.0361,0.25
rd_00365,road,road,2025-01-06T06:09:00,6.15,0,0,0,0.0276,0.25
rd_00445,road,road,2025-01-06T06:09:37,6.16,0,0,0,0.1857,0.25
rd_00969,road,road,2025-01-06T06:09:51,6.164,0,0,0,0.6294,0.7762
tr_bus_342f_015,transit,bus,2025-01-06T06:10:04,6.168,0,0,0,1.617,1.761
tr_bus_75b_007,transit,bus,2025-01-06T06:10:12,6.17,0,0,0,1.516,1.446
rd_00067,road,road,2025-01-06T06:10:18,6.172,0,0,0,0.8222,0.8447
tr_bus_342f_010,transit,bus,2025-01-06T06:10:18,6.172,0,0,0,4.267,5.2797
rd_01230,road,road,2025-01-06T06:11:56,6.199,0,0,0,4.2459,4.9642
rd_00572,road,road,2025-01-06T06:12:38,6.211,0,0,0,0.0669,0.25
rd_00448,road,road,2025-01-06T06:12:42,6.212,0,0,0,0.1046,0.25
rd_00203,road,road,2025-01-06T06:12:55,6.215,0,0,0,0.2501,0.2602
rd_c_bs_s_2406102897,road,road,2025-01-06T06:13:20,6.222,0,0,0,0.0555,0.25
rd_01124,road,road,2025-01-06T06:13:48,6.23,0,0,0,1.4506,1.476
rd_01057,road,road,2025-01-06T06:13:51,6.231,0,0,0,0.5799,0.6497
rd_01075,road,road,2025-01-06T06:13:56,6.232,0,0,0,1.0949,1.3174
rd_00141,road,road,2025-01-06T06:13:59,6.233,0,0,0,0.4131,0.4838
rd_00923,road,road,2025-01-06T06:14:44,6.246,0,0,0,0.3174,0.3589
rd_00583,road,road,2025-01-06T06:15:05,6.252,0,0,0,0.0554,0.25
tr_bus_401n_023,transit,bus,2025-01-06T06:15:17,6.255,0,0,0,1.788,2.0211
rd_01153,road,road,2025-01-06T06:15:32,6.259,0,0,0,0.66,0.6807
rd_00916,road,road,2025-01-06T06:15:48,6.263,0,0,0,1.6355,1.37
rd_00656,road,road,2025-01-06T06:15:50,6.264,0,0,0,0.0658,0.25
tr_bus_500l_019,transit,bus,2025-01-06T06:15:59,6.267,0,0,0,2.813,3.2007
rd_00056,road,road,2025-01-06T06:16:26,6.274,0,0,0,0.0636,0.25
rd_00607,road,road,2025-01-06T06:17:04,6.284,0,0,0,0.0222,0.25
tr_bus_500l_019,transit,bus,2025-01-06T06:17:19,6.289,0,0,0,2.813,3.3215
rd_00519,road,road,2025-01-06T06:17:29,6.292,0,0,0,0.0278,0.25
tr_bus_401n_024,transit,bus,2025-01-06T06:17:30,6.292,0,0,0,2.162,2.3788
rd_01227,road,road,2025-01-06T06:17:44,6.296,0,0,0,1.0046,1.3524
rd_00224,road,road,2025-01-06T06:17:55,6.299,0,0,0,0.0762,0.25
rd_00036,road,road,2025-01-06T06:18:00,6.3,0,0,0,0.4736,0.4509
rd_c_bs_s_2412945505,road,road,2025-01-06T06:18:43,6.312,0,0,0,0.3186,0.3411
rd_00567,road,road,2025-01-06T06:19:07,6.319,0,0,0,0.0255,0.25
rd_c_ms_tion__vidhan,road,road,2025-01-06T06:19:19,6.322,0,0,0,0.1287,0.25
rd_01187,road,road,2025-01-06T06:19:29,6.325,0,0,0,0.7286,0.8492
rd_00493,road,road,2025-01-06T06:19:37,6.327,0,0,0,1.0397,1.3128
rd_00008,road,road,2025-01-06T06:19:38,6.327,0,0,0,0.4941,0.5202
rd_00923,road,road,2025-01-06T06:19:56,6.332,0,0,0,0.3174,0.4756
rd_00242,road,road,2025-01-06T06:20:42,6.345,0,0,0,0.0268,0.25
rd_00987,road,road,2025-01-06T06:20:55,6.349,0,0,0,0.1383,0.25
rd_c_bs__13016547163,road,road,2025-01-06T06:21:23,6.357,0,0,0,0.0738,0.25
rd_c_bs_s_2397023289,road,road,2025-01-06T06:21:31,6.359,0,0,0,0.6276,0.8538
rd_00538,road,road,2025-01-06T06:23:04,6.384,0,0,0,0.0245,0.25
rd_00290,road,road,2025-01-06T06:23:16,6.388,0,0,0,0.1036,0.25
rd_00602,road,road,2025-01-06T06:23:44,6.396,0,0,0,0.0656,0.25
tr_bus_401n_017,transit,bus,2025-01-06T06:23:44,6.396,0,0,0,2.809,2.4718
tr_bus_60a_005,transit,bus,2025-01-06T06:23:49,6.397,0,0,0,2.768,3.6362
rd_00480,road,road,2025-01-06T06:24:01,6.4,0,0,0,0.0167,0.25
tr_bus_169_004,transit,bus,2025-01-06T06:24:28,6.408,0,0,0,2.824,3.5951
rd_00302,road,road,2025-01-06T06:24:40,6.411,0,0,0,0.1584,0.25
rd_00388,road,road,2025-01-06T06:25:03,6.418,0,0,0,0.0962,0.25
rd_00736,road,road,2025-01-06T06:25:07,6.419,0,0,0,0.1922,0.25
rd_c_pl_pl_home,road,road,2025-01-06T06:25:43,6.429,0,0,0,0.411,0.6048
tr_bus_60a_023,transit,bus,2025-01-06T06:25:57,6.433,0,0,0,2.824,2.6757
rd_00740,road,road,2025-01-06T06:26:12,6.437,0,0,0,0.029,0.25
rd_01181,road,road,2025-01-06T06:26:39,6.444,0,0,0,1.2761,1.4401
rd_01218,road,road,2025-01-06T06:27:01,6.45,0,0,0,2.5566,3.9434
