node_id,name,kind,lat,lon,lines,is_interchange,category,degree,observed_congestion,latent_congestion
mg_magadi,Magadi Road,metro_station,12.9752,77.5548,purple,0,,8,0.27591,0.22664
mg_central,Sir M. Visvesvaraya,metro_station,12.974,77.5806,purple,0,,7,0.2898,0.19546
mg_majestic,Majestic (Kempegowda),metro_station,12.9757,77.5729,purple|green,1,,10,0.0,0.19932
mg_vidhana,Vidhana Soudha,metro_station,12.9794,77.5906,purple,0,,7,0.0,0.25281
mg_cubbon,Cubbon Park,metro_station,12.9782,77.596,purple,0,,7,0.29515,0.33748
mg_mgroad,M.G. Road,metro_station,12.9756,77.6068,purple,0,,8,0.61059,0.59073
mg_trinity,Trinity,metro_station,12.9731,77.6169,purple,0,,6,0.46312,0.8127
mg_halasuru,Halasuru,metro_station,12.9767,77.6265,purple,0,,7,0.39625,0.96889
mg_indiranagar,Indiranagar,metro_station,12.9784,77.6383,purple,0,,6,0.42463,0.97373
mg_svroad,Swami Vivekananda Road,metro_station,12.9857,77.6432,purple,0,,7,1.0,0.8546
mg_byappanahalli,Byappanahalli,metro_station,12.9906,77.6535,purple,0,,5,0.7096,0.54509
mg_chickpete,Chickpete,metro_station,12.9673,77.576,green,0,,7,0.53398,0.19104
mg_krmarket,Krishna Rajendra Market,metro_station,12.96,77.576,green,0,,9,0.0,0.18519
mg_natcollege,National College,metro_station,12.9505,77.574,green,0,,6,0.27813,0.19751
mg_lalbagh,Lalbagh,metro_station,12.945,77.58,green,0,,9,0.0,0.21728
mg_southend,South End Circle,metro_station,12.937,77.579,green,0,,6,0.19675,0.26037
mg_jayanagar,Jayanagar,metro_station,12.93,77.583,green,0,,7,0.04971,0.26959
mg_rvroad,Rashtreeya Vidyalaya Road,metro_station,12.9215,77.58,green|yellow,1,,9,0.24912,0.23629
mg_banashankari,Banashankari,metro_station,12.915,77.573,green,0,,7,0.93311,0.15675
mg_ragigudda,Ragigudda,metro_station,12.9142,77.5905,yellow,0,,6,0.23577,0.13281
