edge_id,u,v,distance_km,road_class,free_speed_kmph,lanes
rd_0001,jn_101,mg_magadi,0.3335,residential,22.0,1
rd_0002,jn_087,mg_magadi,0.6503,residential,22.0,1
rd_0003,jn_102,mg_magadi,0.9405,arterial,42.0,3
rd_0004,bs_201_01,mg_central,0.2624,arterial,42.0,3
rd_0005,jn_090,mg_central,0.4585,secondary,32.0,2
rd_0006,jn_104,mg_central,0.8567,arterial,42.0,3
rd_0007,bs_012_08,mg_central,0.9816,residential,22.0,1
rd_0008,bs_012_08,mg_majestic,0.3421,residential,22.0,1
rd_0009,jn_103,mg_majestic,0.6403,secondary,32.0,2
rd_0010,jn_090,mg_majestic,0.69,arterial,42.0,3
rd_0011,jn_106,mg_vidhana,0.4339,arterial,42.0,3
rd_0012,bs_201_02,mg_vidhana,0.5618,secondary,32.0,2
rd_0013,jn_105,mg_vidhana,0.6457,secondary,32.0,2
rd_0014,mg_cubbon,mg_vidhana,0.7682,residential,22.0,1
rd_0015,jn_106,mg_cubbon,0.3367,secondary,32.0,2
rd_0016,bs_201_03,mg_cubbon,0.3452,secondary,32.0,2
rd_0017,jn_107,mg_cubbon,0.6804,arterial,42.0,3
rd_0018,bs_201_04,mg_mgroad,0.351,residential,22.0,1
rd_0019,jn_108,mg_mgroad,0.5802,secondary,32.0,2
rd_0020,bs_201_05,mg_mgroad,0.7384,residential,22.0,1
rd_0021,jn_094,mg_mgroad,0.855,residential,22.0,1
rd_0022,jn_095,mg_trinity,0.3073,residential,22.0,1
rd_0023,bs_201_06,mg_trinity,0.4316,arterial,42.0,3
rd_0024,bs_201_05,mg_trinity,0.717,residential,22.0,1
rd_0025,jn_109,mg_trinity,0.9033,arterial,42.0,3
rd_0026,bs_201_07,mg_halasuru,0.4965,secondary,32.0,2
rd_0027,jn_096,mg_halasuru,0.5614,arterial,42.0,3
rd_0028,jn_110,mg_halasuru,0.6428,arterial,42.0,3
rd_0029,bs_201_06,mg_halasuru,0.9962,arterial,42.0,3
rd_0030,jn_112,mg_indiranagar,0.5247,arterial,42.0,3
rd_0031,jn_111,mg_indiranagar,0.6197,arterial,42.0,3
rd_0032,jn_114,mg_indiranagar,1.0249,residential,22.0,1
rd_0033,jn_113,mg_indiranagar,1.0689,arterial,42.0,3
rd_0034,jn_114,mg_svroad,0.3965,arterial,42.0,3
rd_0035,jn_115,mg_svroad,0.6157,secondary,32.0,2
rd_0036,jn_112,mg_svroad,0.8327,residential,22.0,1
rd_0037,jn_113,mg_svroad,0.8327,residential,22.0,1
rd_0038,jn_116,mg_byappanahalli,0.616,residential,22.0,1
rd_0039,jn_117,mg_byappanahalli,0.6218,arterial,42.0,3
rd_0040,bs_500_14,mg_byappanahalli,0.9811,secondary,32.0,2
rd_0041,bs_012_07,mg_chickpete,0.2427,arterial,42.0,3
rd_0042,jn_077,mg_chickpete,0.7193,residential,22.0,1
rd_0043,jn_090,mg_chickpete,0.9018,arterial,42.0,3
rd_0044,bs_012_08,mg_chickpete,0.9299,secondary,32.0,2
rd_0045,bs_012_06,mg_krmarket,0.2414,residential,22.0,1
rd_0046,bs_045_04,mg_krmarket,0.3143,arterial,42.0,3
rd_0047,jn_070,mg_krmarket,0.6175,secondary,32.0,2
rd_0048,jn_069,mg_krmarket,0.6739,residential,22.0,1
rd_0049,jn_063,mg_natcollege,0.2354,secondary,32.0,2
rd_0050,bs_012_05,mg_natcollege,0.4668,secondary,32.0,2
rd_0051,jn_064,mg_natcollege,0.9811,secondary,32.0,2
rd_0052,jn_070,mg_natcollege,1.0043,residential,22.0,1
rd_0053,bs_012_04,mg_lalbagh,0.3011,residential,22.0,1
rd_0054,jn_064,mg_lalbagh,0.3073,residential,22.0,1
rd_0055,jn_057,mg_lalbagh,0.8313,secondary,32.0,2
rd_0056,jn_065,mg_lalbagh,0.8719,secondary,32.0,2
rd_0057,bs_012_03,mg_southend,0.2233,secondary,32.0,2
rd_0058,jn_057,mg_southend,0.321,arterial,42.0,3
rd_0059,jn_046,mg_southend,0.5928,secondary,32.0,2
rd_0060,bs_012_04,mg_southend,0.8919,residential,22.0,1
rd_0061,bs_012_02,mg_jayanagar,0.3865,secondary,32.0,2
rd_0062,jn_031,mg_jayanagar,0.4714,residential,22.0,1
rd_0063,jn_047,mg_jayanagar,0.5593,secondary,32.0,2
rd_0064,jn_011,mg_rvroad,0.4139,residential,22.0,1
rd_0065,bs_012_01,mg_rvroad,0.4115,residential,22.0,1
rd_0066,jn_030,mg_rvroad,0.7215,secondary,32.0,2
rd_0067,jn_003,mg_banashankari,0.5448,secondary,32.0,2
rd_0068,jn_010,mg_banashankari,0.777,secondary,32.0,2
rd_0069,bs_012_01,mg_banashankari,1.0879,arterial,42.0,3
rd_0070,jn_005,mg_ragigudda,0.6288,arterial,42.0,3
rd_0071,jn_013,mg_ragigudda,0.7191,secondary,32.0,2
rd_0072,jn_004,mg_ragigudda,0.8262,residential,22.0,1
rd_0073,jn_012,mg_ragigudda,0.8576,residential,22.0,1
rd_0074,jn_014,mg_jayadeva,0.5948,residential,22.0,1
rd_0075,jn_013,mg_jayadeva,0.6049,arterial,42.0,3
