edge_id,u,v,distance_km,walk_min
tf_0000,bs_045_00,mg_magadi,0.0,1.2
tf_0001,bs_045_01,mg_magadi,1.02,14.504
tf_0002,bs_201_01,mg_central,0.246,4.408
tf_0003,bs_012_08,mg_central,0.9203,13.204
tf_0004,bs_201_00,mg_majestic,0.0,1.2
tf_0005,bs_201_01,mg_majestic,1.02,14.504
tf_0006,bs_012_08,mg_majestic,0.3207,5.383
tf_0007,mg_cubbon,mg_vidhana,0.7202,10.593
tf_0008,bs_201_02,mg_vidhana,0.5267,8.069
tf_0009,bs_201_03,mg_vidhana,0.8964,12.893
tf_0010,bs_201_02,mg_cubbon,1.0086,14.355
tf_0011,bs_201_03,mg_cubbon,0.3236,5.421
tf_0012,bs_201_04,mg_mgroad,0.3291,5.493
tf_0013,bs_201_05,mg_mgroad,0.6922,10.229
tf_0014,bs_201_05,mg_trinity,0.6722,9.968
tf_0015,bs_201_06,mg_trinity,0.4047,6.478
tf_0016,bs_201_06,mg_halasuru,0.9339,13.382
tf_0017,bs_201_07,mg_halasuru,0.4654,7.271
tf_0018,bs_500_14,mg_svroad,0.8622,12.446
tf_0019,bs_500_14,mg_byappanahalli,0.9197,13.197
tf_0020,bs_500_15,mg_byappanahalli,0.0,1.2
tf_0021,mg_chickpete,mg_krmarket,0.9741,13.905
tf_0022,bs_012_07,mg_chickpete,0.2275,4.168
tf_0023,bs_012_08,mg_chickpete,0.8718,12.571
tf_0024,bs_045_02,mg_chickpete,0.9318,13.354
tf_0025,bs_012_06,mg_krmarket,0.2264,4.152
tf_0026,bs_012_07,mg_krmarket,0.7966,11.59
tf_0027,bs_045_04,mg_krmarket,0.2947,5.043
tf_0028,bs_012_05,mg_natcollege,0.4376,6.908
tf_0029,bs_012_04,mg_lalbagh,0.2822,4.881
tf_0030,bs_012_05,mg_lalbagh,0.8448,12.219
tf_0031,bs_012_03,mg_southend,0.2094,3.931
tf_0032,bs_012_04,mg_southend,0.8361,12.106
tf_0033,bs_012_02,mg_jayanagar,0.3623,5.926
tf_0034,bs_012_03,mg_jayanagar,0.8607,12.427
tf_0035,bs_171_00,mg_jayanagar,0.0,1.2
tf_0036,bs_012_01,mg_rvroad,0.3858,6.232
tf_0037,bs_012_02,mg_rvroad,0.8936,12.855
tf_0038,bs_500_00,mg_rvroad,0.0,1.2
tf_0039,bs_012_00,mg_banashankari,0.0,1.2
tf_0040,bs_012_01,mg_banashankari,1.0199,14.504
tf_0041,bs_356_09,mg_silkboard,0.1755,3.488
tf_0042,bs_201_00,bs_201_01,1.02,14.504
tf_0043,bs_012_08,bs_201_00,0.3207,5.383
tf_0044,bs_012_08,bs_201_01,0.9909,14.125
tf_0045,bs_201_02,bs_201_03,1.0198,14.501
tf_0046,bs_201_04,bs_201_05,1.0191,14.493
