edge_id,route_id,mode,u,v,seq,distance_km,scheduled_min
tr_0000,metro_purple,metro,mg_magadi,mg_majestic,0,2.0013,3.349
tr_0001,metro_purple,metro,mg_majestic,mg_central,1,0.8726,1.697
tr_0002,metro_purple,metro,mg_central,mg_vidhana,2,1.2636,2.269
tr_0003,metro_purple,metro,mg_vidhana,mg_cubbon,3,0.6121,1.316
tr_0004,metro_purple,metro,mg_cubbon,mg_mgroad,4,1.2295,2.219
tr_0005,metro_purple,metro,mg_mgroad,mg_trinity,5,1.1517,2.105
tr_0006,metro_purple,metro,mg_trinity,mg_halasuru,6,1.1369,2.084
tr_0007,metro_purple,metro,mg_halasuru,mg_indiranagar,7,1.3183,2.349
tr_0008,metro_purple,metro,mg_indiranagar,mg_svroad,8,0.9893,1.868
tr_0009,metro_purple,metro,mg_svroad,mg_byappanahalli,9,1.2667,2.274
tr_0010,metro_green,metro,mg_majestic,mg_chickpete,0,1.0125,1.902
tr_0011,metro_green,metro,mg_chickpete,mg_krmarket,1,0.828,1.632
tr_0012,metro_green,metro,mg_krmarket,mg_natcollege,2,1.0999,2.03
tr_0013,metro_green,metro,mg_natcollege,mg_lalbagh,3,0.9105,1.752
tr_0014,metro_green,metro,mg_lalbagh,mg_southend,4,0.9141,1.758
tr_0015,metro_green,metro,mg_southend,mg_jayanagar,5,0.9088,1.75
tr_0016,metro_green,metro,mg_jayanagar,mg_rvroad,6,1.0195,1.912
tr_0017,metro_green,metro,mg_rvroad,mg_banashankari,7,1.0688,1.984
tr_0018,metro_yellow,metro,mg_rvroad,mg_ragigudda,0,1.4258,2.507
tr_0019,metro_yellow,metro,mg_ragigudda,mg_jayadeva,1,1.055,1.964
tr_0020,metro_yellow,metro,mg_jayadeva,mg_btm,2,1.2456,2.243
tr_0021,metro_yellow,metro,mg_btm,mg_silkboard,3,1.3628,2.414
tr_0022,metro_yellow,metro,mg_silkboard,mg_bommanahalli,4,1.9535,3.279
tr_0023,bus_201,bus,bs_201_00,bs_201_01,0,1.003,4.09
tr_0024,bus_201,bus,bs_201_01,bs_201_02,1,1.0031,4.09
tr_0025,bus_201,bus,bs_201_02,bs_201_03,2,1.0028,4.089
tr_0026,bus_201,bus,bs_201_03,bs_201_04,3,1.003,4.09
tr_0027,bus_201,bus,bs_201_04,bs_201_05,4,1.0021,4.087
tr_0028,bus_201,bus,bs_201_05,bs_201_06,5,1.003,4.09
tr_0029,bus_201,bus,bs_201_06,bs_201_07,6,1.0029,4.09
tr_0030,bus_201,bus,bs_201_07,bs_201_08,7,0.9571,3.928
tr_0031,bus_201,bus,bs_201_08,bs_201_09,8,1.003,4.09
tr_0032,bus_012,bus,bs_012_00,bs_012_01,0,1.0029,4.09
tr_0033,bus_012,bus,bs_012_01,bs_012_02,1,0.9994,4.077
tr_0034,bus_012,bus,bs_012_02,bs_012_03,2,1.003,4.09
tr_0035,bus_012,bus,bs_012_03,bs_012_04,3,1.0029,4.09
tr_0036,bus_012,bus,bs_012_04,bs_012_05,4,1.003,4.09
tr_0037,bus_012,bus,bs_012_05,bs_012_06,5,1.0029,4.09
tr_0038,bus_012,bus,bs_012_06,bs_012_07,6,1.003,4.09
tr_0039,bus_012,bus,bs_012_07,bs_012_08,7,1.0004,4.081
tr_0040,bus_171,bus,bs_171_00,bs_171_01,0,1.003,4.09
tr_0041,bus_171,bus,bs_171_01,bs_171_02,1,1.003,4.09
tr_0042,bus_171,bus,bs_171_02,bs_171_03,2,1.0027,4.089
tr_0043,bus_171,bus,bs_171_03,bs_171_04,3,1.003,4.09
tr_0044,bus_171,bus,bs_171_04,bs_171_05,4,0.981,4.012
tr_0045,bus_171,bus,bs_171_05,bs_171_06,5,1.0029,4.09
tr_0046,bus_171,bus,bs_171_06,bs_171_07,6,0.9801,4.009
tr_0047,bus_171,bus,bs_171_07,bs_171_08,7,1.0029,4.09
tr_0048,bus_171,bus,bs_171_08,bs_171_09,8,0.9863,4.031
tr_0049,bus_171,bus,bs_171_09,bs_201_09,9,0.8179,3.437
tr_0050,bus_500,bus,bs_500_00,bs_500_01,0,1.003,4.09
tr_0051,bus_500,bus,bs_500_01,bs_500_02,1,1.003,4.09
tr_0052,bus_500,bus,bs_500_02,bs_500_03,2,1.003,4.09
tr_0053,bus_500,bus,bs_500_03,bs_500_04,3,1.0023,4.087
tr_0054,bus_500,bus,bs_500_04,bs_500_05,4,1.0031,4.09
tr_0055,bus_500,bus,bs_500_05,bs_500_06,5,1.0029,4.09
tr_0056,bus_500,bus,bs_500_06,bs_500_07,6,1.0031,4.09
tr_0057,bus_500,bus,bs_500_07,bs_500_08,7,0.9702,3.974
tr_0058,bus_500,bus,bs_500_08,bs_500_09,8,1.0029,4.09
tr_0059,bus_500,bus,bs_500_09,bs_500_10,9,1.0031,4.09
tr_0060,bus_500,bus,bs_500_10,bs_500_11,10,0.948,3.896
tr_0061,bus_500,bus,bs_500_11,bs_500_12,11,1.0031,4.09
tr_0062,bus_500,bus,bs_500_12,bs_500_13,12,1.0029,4.09
tr_0063,bus_500,bus,bs_500_13,bs_500_14,13,0.9525,3.912
tr_0064,bus_500,bus,bs_500_14,bs_500_15,14,0.9044,3.742
tr_0065,bus_045,bus,bs_045_00,bs_045_01,0,1.003,4.09
tr_0066,bus_045,bus,bs_045_01,bs_045_02,1,0.9961,4.066
tr_0067,bus_045,bus,bs_045_02,bs_012_07,2,0.8649,3.603
tr_0068,bus_045,bus,bs_012_07,bs_045_04,3,0.9574,3.929
tr_0069,bus_045,bus,bs_045_04,bs_012_05,4,1.1169,4.492
tr_0070,bus_045,bus,bs_012_05,bs_012_04,5,1.003,4.09
tr_0071,bus_356,bus,bs_356_00,bs_356_01,0,1.003,4.09
tr_0072,bus_356,bus,bs_356_01,bs_356_02,1,1.003,4.09
tr_0073,bus_356,bus,bs_356_02,bs_356_03,2,0.9993,4.077
tr_0074,bus_356,bus,bs_356_03,bs_356_04,3,1.003,4.09
tr_0075,bus_356,bus,bs_356_04,bs_356_05,4,0.9977,4.071
tr_0076,bus_356,bus,bs_356_05,bs_356_06,5,1.0029,4.09
tr_0077,bus_356,bus,bs_356_06,bs_356_07,6,0.9704,3.975
tr_0078,bus_356,bus,bs_356_07,bs_356_08,7,0.9872,4.034
tr_0079,bus_356,bus,bs_356_08,bs_356_09,8,1.0029,4.09
tr_0080,bus_222,bus,bs_012_00,bs_222_01,0,1.0031,4.09
tr_0081,bus_222,bus,bs_222_01,bs_222_02,1,1.0018,4.086
tr_0082,bus_222,bus,bs_222_02,bs_222_03,2,1.0023,4.087
tr_0083,bus_222,bus,bs_222_03,bs_222_04,3,1.003,4.09
tr_0084,bus_222,bus,bs_222_04,bs_222_05,4,0.9965,4.067
tr_0085,bus_222,bus,bs_222_05,bs_222_06,5,0.9148,3.779
tr_0086,bus_222,bus,bs_222_06,bs_222_07,6,0.6291,2.77
