edge_id,edge_kind,mode,ts,hour,dow,is_weekend,rain,base_min,observed_min
rd_0081,road,road,2025-01-06T06:01:13,6.02,0,0,0,2.1358,2.008
rd_0524,road,road,2025-01-06T06:01:16,6.021,0,0,0,0.6581,0.7627
tr_0068,transit,bus,2025-01-06T06:01:46,6.029,0,0,0,3.929,3.793
rd_0110,road,road,2025-01-06T06:02:34,6.043,0,0,0,0.5831,0.6742
rd_0404,road,road,2025-01-06T06:02:59,6.05,0,0,0,1.9536,2.3054
rd_0158,road,road,2025-01-06T06:03:55,6.065,0,0,0,2.3315,2.4653
rd_0078,road,road,2025-01-06T06:04:05,6.068,0,0,0,0.9405,1.1466
rd_0426,road,road,2025-01-06T06:04:48,6.08,0,0,0,2.9239,3.4011
rd_0478,road,road,2025-01-06T06:05:31,6.092,0,0,0,2.7057,3.3925
rd_0260,road,road,2025-01-06T06:05:34,6.093,0,0,0,1.5535,1.8196
rd_0178,road,road,2025-01-06T06:06:19,6.106,0,0,0,1.7801,2.1313
rd_0222,road,road,2025-01-06T06:06:33,6.109,0,0,0,2.5282,2.2519
rd_0104,road,road,2025-01-06T06:06:39,6.111,0,0,0,1.8711,1.6983
rd_0439,road,road,2025-01-06T06:08:26,6.141,0,0,0,4.0227,5.1595
rd_0485,road,road,2025-01-06T06:09:35,6.16,0,0,0,0.9191,0.8126
rd_0264,road,road,2025-01-06T06:09:57,6.166,0,0,0,1.2084,1.079
tr_0051,transit,bus,2025-01-06T06:11:54,6.198,0,0,0,4.09,4.2208
rd_0067,road,road,2025-01-06T06:12:02,6.201,0,0,0,1.0215,1.133
rd_0377,road,road,2025-01-06T06:13:08,6.219,0,0,0,1.7732,1.5535
rd_0361,road,road,2025-01-06T06:13:30,6.225,0,0,0,1.7101,1.7374
rd_0472,road,road,2025-01-06T06:13:59,6.233,0,0,0,1.5171,1.708
rd_0227,road,road,2025-01-06T06:15:17,6.255,0,0,0,1.7244,1.6782
rd_0452,road,road,2025-01-06T06:17:34,6.293,0,0,0,2.1504,2.2743
rd_0299,road,road,2025-01-06T06:19:30,6.325,0,0,0,1.2795,1.3491
